chr	pos	cM
chr21	12977762	0.589953
chr21	12983047	0.5932
chr21	12985513	0.594723
chr21	12987409	0.595995
chr21	12988569	0.596825
chr21	12988657	0.596888
chr21	12990722	0.598372
chr21	12996886	0.602811
chr21	13005105	0.608771
chr21	13008053	0.610914
chr21	13008350	0.61113
chr21	13010184	0.612463
chr21	13036261	0.631425
chr21	13042551	0.636014
chr21	13053221	0.643835
chr21	13054700	0.645039
chr21	13073695	0.662025
chr21	13099938	0.686725
chr21	13110005	0.710975
chr21	13139827	0.783433
chr21	13213132	0.843648
chr21	13222943	0.851808
chr21	13224688	0.854385
chr21	13227809	0.859031
chr21	13229094	0.860983
chr21	13231256	0.864264
chr21	13232040	0.864855
chr21	13234719	0.865045
chr21	13240712	0.865468
chr21	13240882	0.865483
chr21	13241380	0.865526
chr21	13241672	0.865557
chr21	13255384	0.867053
chr21	13258267	0.867151
chr21	13258634	0.867158
chr21	13259274	0.867164
chr21	13261103	0.86717
chr21	13264585	0.86718
chr21	13268079	0.86719
chr21	13270143	0.867195
chr21	13274232	0.867207
chr21	13275529	0.867211
chr21	13275836	0.867212
chr21	13277477	0.867217
chr21	13280587	0.86723
chr21	13283230	0.867252
chr21	13284448	0.867516
chr21	13286509	0.867571
chr21	13289671	0.867656
chr21	13292630	0.868265
chr21	13293652	0.868469
chr21	13293843	0.868575
chr21	13294763	0.869052
chr21	13297610	0.869314
chr21	13297803	0.869332
chr21	13297868	0.869338
chr21	13298852	0.869429
chr21	13301529	0.869675
chr21	13304980	0.869993
chr21	13305033	0.869998
chr21	13308956	0.870349
chr21	13313275	0.870731
chr21	13313842	0.870785
chr21	13314336	0.870833
chr21	13315250	0.87092
chr21	13316504	0.871091
chr21	13319046	0.871643
chr21	13319991	0.871798
chr21	13320912	0.871941
chr21	13321060	0.871967
chr21	13327484	0.873193
chr21	13327565	0.873241
chr21	13339843	0.881461
chr21	13342566	0.88329
chr21	13342905	0.883459
chr21	13345210	0.884512
chr21	13353062	0.887308
chr21	13362765	0.888153
chr21	13363169	0.888185
chr21	13364137	0.888252
chr21	13367143	0.888456
chr21	13370521	0.888685
chr21	13370996	0.888717
chr21	13371725	0.888766
chr21	13372587	0.888825
chr21	13377078	0.889129
chr21	13377546	0.889161
chr21	13382924	0.889525
chr21	13384040	0.8896
chr21	13384355	0.889622
chr21	13384652	0.889642
chr21	13384722	0.889647
chr21	13386583	0.889773
chr21	13389646	0.88998
chr21	13390602	0.890045
chr21	13394104	0.890282
chr21	13394880	0.890344
chr21	13396022	0.89088
chr21	13396725	0.891027
chr21	13397141	0.891078
chr21	13398856	0.891281
chr21	13399490	0.891356
chr21	13400911	0.891525
chr21	13401195	0.891559
chr21	13403408	0.891824
chr21	13407058	0.892261
chr21	13408015	0.892383
chr21	13409611	0.892639
chr21	13409638	0.892643
chr21	13411277	0.892913
chr21	13411964	0.893032
chr21	13413297	0.893255
chr21	13413478	0.893281
chr21	13414091	0.893355
chr21	13418100	0.893809
chr21	13418412	0.893845
chr21	13421184	0.894157
chr21	13423154	0.894379
chr21	13423802	0.894452
chr21	13424314	0.894511
chr21	13425696	0.894675
chr21	13425916	0.894705
chr21	13428532	0.895059
chr21	13428821	0.89511
chr21	13430429	0.895396
chr21	13430807	0.895467
chr21	13434815	0.896218
chr21	13436572	0.89655
chr21	13437721	0.896768
chr21	13440234	0.897243
chr21	13440669	0.897419
chr21	13441052	0.897585
chr21	13441328	0.897673
chr21	13443583	0.898077
chr21	13445465	0.898406
chr21	13447387	0.898727
chr21	13448087	0.898843
chr21	13448681	0.898939
chr21	13450021	0.899156
chr21	13452182	0.899502
chr21	13452291	0.899519
chr21	13453268	0.899673
chr21	13455377	0.900006
chr21	13457716	0.900375
chr21	13459039	0.901778
chr21	13459286	0.902465
chr21	13462951	0.920236
chr21	13464068	0.925869
chr21	13464977	0.93036
chr21	13472403	0.9381
chr21	13474973	0.940246
chr21	13475280	0.940499
chr21	13477189	0.941737
chr21	13477307	0.941813
chr21	13482698	0.943047
chr21	13488851	0.944455
chr21	13497301	0.946373
chr21	13498350	0.946611
chr21	13503956	0.947895
chr21	13507682	0.948835
chr21	13512011	0.950442
chr21	13514351	0.951539
chr21	13514493	0.95234
chr21	13519578	0.981929
chr21	13527249	0.985146
chr21	13527267	0.985154
chr21	13529599	0.986132
chr21	13529780	0.98621
chr21	13530378	0.986464
chr21	13535268	0.988519
chr21	13539380	0.990265
chr21	13542314	0.991687
chr21	13542485	0.991877
chr21	13543734	0.994172
chr21	13547816	0.996836
chr21	13552614	0.999057
chr21	13556034	0.999703
chr21	13558377	1.000139
chr21	13559721	1.000387
chr21	13562613	1.000919
chr21	13568685	1.002035
chr21	13568824	1.002061
chr21	13570038	1.002285
chr21	13571018	1.002467
chr21	13572794	1.002796
chr21	13574849	1.003182
chr21	13580005	1.004165
chr21	13585652	1.005248
chr21	13585778	1.005302
chr21	13588275	1.006625
chr21	13589600	1.007113
chr21	13597606	1.008817
chr21	13600688	1.013247
chr21	13601544	1.01336
chr21	13601581	1.013365
chr21	13604165	1.013709
chr21	13604687	1.013777
chr21	13605124	1.013834
chr21	13613111	1.014617
chr21	13626194	1.015695
chr21	13632830	1.01625
chr21	13639384	1.017101
chr21	13648940	1.017916
chr21	13655162	1.018447
