#reference_panel_population:	Africa	Europe	Middle_East
chromosome	physical_position	genetic_position	genetic_marker_index	Mozabite1:::hap1:::Africa	Mozabite1:::hap1:::Europe	Mozabite1:::hap1:::Middle_East	Mozabite1:::hap2:::Africa	Mozabite1:::hap2:::Europe	Mozabite1:::hap2:::Middle_East
18	44831	0.11277	0	0.00989	0.92710	0.06302	0.85109	0.05531	0.09360
18	101252	0.23284	5	0.00085	0.97709	0.02207	0.94101	0.02111	0.03789
18	205757	0.26951	10	0.00141	0.97963	0.01896	0.95249	0.02218	0.02532
18	369236	0.72297	15	0.01683	0.96685	0.01631	0.95708	0.03736	0.00554
18	458505	0.93309	20	0.06531	0.91126	0.02342	0.89153	0.09739	0.01109
18	619740	1.84353	25	0.68931	0.27865	0.03219	0.12210	0.86397	0.01394
18	666601	2.21914	30	0.90910	0.06412	0.02678	0.00229	0.99334	0.00437
18	706047	2.24137	35	0.91804	0.04451	0.03740	0.00107	0.99539	0.00354
18	881492	2.58552	40	0.76083	0.05998	0.17924	0.00165	0.99417	0.00417
18	939337	3.09050	45	0.41419	0.10838	0.47755	0.00140	0.99421	0.00439
18	1064303	3.45343	50	0.17696	0.09468	0.72836	0.00134	0.99698	0.00168
18	1131238	3.66754	55	0.09705	0.06700	0.83602	0.00034	0.99638	0.00327
18	1308316	3.76359	60	0.04832	0.03912	0.91251	0.00055	0.97959	0.01987
18	1486271	3.94989	65	0.01574	0.03551	0.94878	0.00460	0.84157	0.15380
18	1600711	4.09943	70	0.00305	0.04304	0.95392	0.00845	0.43494	0.55664
18	1725902	4.19286	75	0.00607	0.05541	0.93852	0.00284	0.13398	0.86316
18	1799612	4.31306	80	0.00898	0.04659	0.94443	0.00080	0.02335	0.97585
18	1876894	4.44522	85	0.00847	0.04651	0.94505	0.00202	0.00574	0.99225
18	1934286	4.55884	90	0.01126	0.04353	0.94520	0.00058	0.00324	0.99619
18	1965173	4.71157	95	0.01016	0.03768	0.95218	0.00228	0.00400	0.99372
18	2055035	5.15523	100	0.00837	0.03872	0.95293	0.00291	0.00708	0.99001
18	2160387	5.30294	105	0.00433	0.04447	0.95123	0.00472	0.00321	0.99206
18	2264451	5.71185	110	0.00549	0.04629	0.94820	0.00971	0.00272	0.98758
18	2309090	5.95710	115	0.00326	0.03736	0.95938	0.03814	0.00441	0.95744
18	2389999	6.07457	120	0.00274	0.02499	0.97228	0.12549	0.00013	0.87440
18	2441134	6.20911	125	0.00142	0.01112	0.98746	0.30902	0.00110	0.68993
18	2505465	6.45080	130	0.00039	0.00205	0.99757	0.77236	0.00080	0.22678
18	2608237	6.50565	135	0.00041	0.00162	0.99797	0.90959	0.00043	0.09001
18	2638320	6.57014	140	0.00018	0.00122	0.99860	0.96278	0.00029	0.03691
18	2715451	6.73565	145	0.00063	0.00128	0.99809	0.98999	0.00028	0.00974
18	2814310	6.75382	150	0.00545	0.00165	0.99291	0.99131	0.00013	0.00855
18	2993612	7.79508	155	0.00728	0.00119	0.99152	0.98446	0.00014	0.01541
18	3039732	7.94946	160	0.00465	0.00387	0.99148	0.98971	0.00101	0.00928
18	3164661	8.31536	165	0.00340	0.00209	0.99451	0.99170	0.00144	0.00686
18	3252901	8.65761	170	0.00442	0.00321	0.99237	0.99608	0.00156	0.00236
18	3365773	9.04361	175	0.00388	0.00624	0.98988	0.99557	0.00178	0.00265
18	3415833	9.30464	180	0.00856	0.00972	0.98172	0.98585	0.00531	0.00883
18	3543177	10.06033	185	0.00773	0.01642	0.97585	0.97776	0.00884	0.01342
18	3642126	10.62563	190	0.00583	0.01420	0.97998	0.98989	0.00438	0.00573
18	3746713	10.88826	195	0.00418	0.01708	0.97873	0.99557	0.00217	0.00226
18	3796440	11.04880	200	0.00070	0.02220	0.97709	0.98534	0.00236	0.01229
