chr	pos	cM
chr20	81154	0
chr20	82590	1.06E-03
chr20	82603	1.07E-03
chr20	83158	0.001473
chr20	83509	0.001731
chr20	84293	0.002313
chr20	84647	0.002576
chr20	85729	0.003384
chr20	88108	0.020512
chr20	88453	0.023003
chr20	88767	0.02527
chr20	90438	0.037334
chr20	90452	0.037435
chr20	92251	0.050372
chr20	93706	0.057148
chr20	94613	0.060164
chr20	96321	0.061594
chr20	100014	0.063408
chr20	101775	0.064267
chr20	102929	0.06483
chr20	104475	0.065585
chr20	106775	0.066707
chr20	110343	0.068449
chr20	110447	0.068558
chr20	110586	0.068881
chr20	110705	0.069227
chr20	110867	0.06992
chr20	111066	0.070911
chr20	111725	0.074221
chr20	111886	0.074639
chr20	112250	0.074933
chr20	112799	0.075148
chr20	112858	0.07517
chr20	113450	0.075386
chr20	114452	0.075726
chr20	116290	0.076347
chr20	116481	0.076412
chr20	116753	0.076506
chr20	118289	0.077051
chr20	119631	0.077551
chr20	119864	0.077625
chr20	120058	0.07767
chr20	120721	0.077747
chr20	121264	0.077791
chr20	121540	0.077809
chr20	122158	0.077841
chr20	122876	0.077875
chr20	126560	0.07805
chr20	127546	0.078097
chr20	127687	0.078106
chr20	128631	0.078184
chr20	128736	0.078197
chr20	141335	0.080107
chr20	141867	0.080187
chr20	143661	0.08046
chr20	143771	0.080488
chr20	144357	0.081002
chr20	144480	0.081119
chr20	144897	0.081557
chr20	145888	0.091697
chr20	145959	0.092453
chr20	145973	0.092594
chr20	146037	0.093139
chr20	146119	0.093704
chr20	146282	0.093834
chr20	146553	0.094034
chr20	147079	0.09442
chr20	147311	0.09459
chr20	148072	0.095148
chr20	148372	0.095371
chr20	148422	0.095407
chr20	148972	0.095809
chr20	148994	0.095819
chr20	149223	0.095925
chr20	150721	0.096453
chr20	150854	0.0965
chr20	151016	0.096557
chr20	152134	0.096954
chr20	152517	0.097151
chr20	153259	0.097539
chr20	153376	0.097685
chr20	153835	0.10019
chr20	153898	0.100517
chr20	154002	0.100962
chr20	154203	0.101823
chr20	154290	0.101916
chr20	154847	0.102407
chr20	155256	0.102574
chr20	155384	0.102627
chr20	155733	0.103
chr20	155813	0.103018
chr20	155927	0.103042
chr20	156080	0.103074
chr20	156669	0.1032
chr20	156813	0.103231
chr20	157259	0.103327
chr20	157292	0.103334
chr20	157363	0.103349
chr20	157484	0.103376
chr20	157507	0.103381
chr20	157819	0.10345
chr20	157914	0.103471
chr20	157979	0.103486
