chr	pos	cM
chr17	163252	0
chr17	191293	1.05E-01
chr17	201297	0.142532
chr17	202676	0.146088
chr17	203220	0.147488
chr17	203415	0.147982
chr17	207235	0.157483
chr17	208484	0.160598
chr17	208658	0.161032
chr17	209189	0.16236
chr17	209876	0.164112
chr17	209926	0.164269
chr17	210434	0.165963
chr17	210741	0.166989
chr17	212693	0.174556
chr17	212735	0.17472
chr17	212855	0.175189
chr17	213307	0.176962
chr17	215560	0.185802
chr17	223472	0.216873
chr17	223631	0.217499
chr17	228441	0.236377
chr17	228591	0.236979
chr17	231345	0.248038
chr17	231670	0.249347
chr17	231974	0.250574
chr17	232290	0.251853
chr17	233178	0.255446
chr17	233382	0.256278
chr17	233405	0.256372
chr17	234991	0.262862
chr17	236559	0.269239
chr17	236711	0.269855
chr17	236842	0.270385
chr17	237011	0.27107
chr17	237290	0.272199
chr17	237751	0.274056
chr17	237964	0.274905
chr17	237970	0.274928
chr17	237978	0.274957
chr17	238734	0.277707
chr17	239022	0.278741
chr17	239037	0.278791
chr17	239197	0.279291
chr17	239392	0.279807
chr17	240638	0.282771
chr17	245840	0.295099
chr17	253120	0.315814
chr17	258629	0.329959
chr17	258756	0.330399
chr17	259058	0.331476
chr17	259509	0.333439
chr17	259538	0.333579
chr17	259909	0.335544
chr17	260234	0.337338
chr17	260788	0.344309
chr17	260852	0.346154
chr17	261117	0.354048
chr17	261239	0.359566
chr17	261308	0.362687
chr17	261432	0.368296
chr17	261459	0.369517
chr17	263243	0.450209
chr17	263302	0.452877
chr17	263599	0.466311
chr17	263891	0.475707
chr17	264003	0.479042
chr17	264095	0.480423
chr17	264878	0.489247
chr17	266235	0.504556
chr17	270383	0.551405
chr17	276101	0.616094
chr17	276910	0.625247
chr17	278598	0.644294
chr17	279434	0.646992
chr17	279666	0.647737
chr17	280815	0.651434
chr17	282037	0.655404
chr17	282769	0.657887
chr17	283203	0.659475
chr17	285519	0.676931
chr17	289254	0.705144
chr17	289543	0.707778
chr17	289566	0.70799
chr17	290146	0.713403
chr17	291244	0.723626
chr17	293139	0.741261
chr17	296637	0.780781
chr17	299381	0.814773
chr17	301865	0.845546
chr17	302495	0.853077
chr17	302571	0.853926
chr17	305703	0.886699
chr17	310060	0.927001
chr17	313487	0.956881
chr17	318819	1.002845
chr17	322746	1.036691
chr17	322892	1.037721
chr17	323061	1.038409
chr17	324115	1.042414
chr17	324330	1.043705
chr17	329605	1.076042
chr17	329986	1.078602
chr17	332713	1.097218
chr17	333447	1.10377
chr17	338802	1.151572
chr17	343397	1.178565
chr17	348281	1.207084
chr17	348482	1.208248
chr17	348636	1.209024
chr17	348907	1.210389
chr17	350768	1.218936
