#reference_panel_population:	Africa	Europe	Middle_East
chromosome	physical_position	genetic_position	genetic_marker_index	Mozabite_12:::hap1:::Africa	Mozabite_12:::hap1:::Europe	Mozabite_12:::hap1:::Middle_East	Mozabite_12:::hap2:::Africa	Mozabite_12:::hap2:::Europe	Mozabite_12:::hap2:::Middle_East
16	44924	0.00624	0	0.00006	0.98851	0.01142	0.00024	0.00371	0.99605
16	192899	0.15372	5	0.00000	0.98885	0.01114	0.00016	0.00358	0.99626
16	256063	0.17271	10	0.00000	0.98886	0.01113	0.00016	0.00358	0.99626
16	366016	0.36247	15	0.00000	0.98951	0.01049	0.00011	0.00339	0.99650
16	506375	0.52919	20	0.00000	0.98971	0.01028	0.00007	0.00328	0.99665
16	623430	0.74469	25	0.00001	0.99009	0.00990	0.00005	0.00308	0.99687
16	818108	1.32041	30	0.00007	0.99348	0.00644	0.00000	0.00113	0.99887
16	852322	1.48617	35	0.00008	0.99395	0.00597	0.00000	0.00087	0.99913
16	921775	1.76576	40	0.00015	0.99494	0.00491	0.00000	0.00032	0.99968
16	984494	1.78315	45	0.00015	0.99495	0.00490	0.00000	0.00032	0.99968
16	1070645	2.35324	50	0.00091	0.99615	0.00294	0.00000	0.00001	0.99999
16	1120675	2.55894	55	0.00123	0.99607	0.00270	0.00000	0.00000	1.00000
16	1173281	2.88091	60	0.00331	0.99509	0.00159	0.00000	0.00000	1.00000
16	1225642	3.07943	65	0.00509	0.99419	0.00072	0.00000	0.00000	1.00000
16	1329019	3.34952	70	0.00807	0.99174	0.00019	0.00000	0.00000	1.00000
16	1480947	3.54071	75	0.01078	0.98914	0.00009	0.00000	0.00000	1.00000
16	1550737	3.77507	80	0.01358	0.98635	0.00007	0.00000	0.00000	0.99999
16	1706050	3.80422	85	0.01360	0.98634	0.00007	0.00000	0.00000	0.99999
16	1825985	3.86513	90	0.01360	0.98634	0.00007	0.00000	0.00000	0.99999
16	1864225	3.87233	95	0.01360	0.98634	0.00007	0.00000	0.00000	0.99999
16	1891187	3.87883	100	0.01360	0.98634	0.00007	0.00000	0.00000	0.99999
16	1931341	3.90961	105	0.01360	0.98634	0.00007	0.00000	0.00000	0.99999
16	2107194	4.45591	110	0.01165	0.98823	0.00011	0.00000	0.00003	0.99997
16	2455349	5.19599	115	0.00474	0.99475	0.00051	0.00000	0.00004	0.99996
16	2610975	5.41262	120	0.00356	0.99578	0.00065	0.00000	0.00004	0.99996
16	2753783	5.70122	125	0.00156	0.99709	0.00135	0.00001	0.00003	0.99996
16	2941884	6.22254	130	0.00004	0.99661	0.00335	0.00025	0.00001	0.99974
16	3066845	6.46777	135	0.00000	0.99598	0.00402	0.00098	0.00000	0.99902
16	3086180	6.53962	140	0.00000	0.99593	0.00407	0.00139	0.00000	0.99861
16	3151660	6.55786	145	0.00000	0.99592	0.00408	0.00139	0.00000	0.99861
16	3322481	6.80203	150	0.00000	0.99560	0.00440	0.00147	0.00000	0.99853
16	3373038	7.08005	155	0.00000	0.99529	0.00471	0.00147	0.00000	0.99853
16	3413156	7.08620	160	0.00000	0.99529	0.00471	0.00147	0.00000	0.99853
16	3488625	7.12990	165	0.00000	0.99526	0.00473	0.00146	0.00000	0.99854
16	3584314	7.18165	170	0.00000	0.99522	0.00477	0.00141	0.00000	0.99859
16	3683733	7.23785	175	0.00000	0.99499	0.00501	0.00137	0.00000	0.99863
16	3917367	7.52784	180	0.00002	0.99086	0.00913	0.00090	0.00000	0.99910
16	4043389	8.05748	185	0.00001	0.98073	0.01925	0.00032	0.00000	0.99967
16	4119224	8.11732	190	0.00001	0.98065	0.01933	0.00032	0.00000	0.99968
16	4200022	8.26927	195	0.00001	0.98030	0.01968	0.00032	0.00000	0.99968
16	4277891	8.53706	200	0.00001	0.97976	0.02022	0.00033	0.00000	0.99967
16	4431722	8.84018	205	0.00001	0.97941	0.02059	0.00043	0.00000	0.99957
16	4480527	8.85042	210	0.00001	0.97941	0.02059	0.00043	0.00000	0.99957
16	4625191	8.88565	215	0.00001	0.97941	0.02059	0.00043	0.00000	0.99957
16	4759809	9.01297	220	0.00000	0.97937	0.02061	0.00045	0.00000	0.99955
16	4792734	9.13351	225	0.00000	0.97937	0.02063	0.00046	0.00000	0.99954
16	4892098	9.17021	230	0.00000	0.97937	0.02063	0.00046	0.00000	0.99954
16	4964214	9.49045	235	0.00000	0.97929	0.02071	0.00048	0.00000	0.99952
16	5056462	9.59489	240	0.00000	0.97929	0.02071	0.00048	0.00000	0.99952
16	5138207	9.94183	245	0.00000	0.97896	0.02104	0.00045	0.00000	0.99955
16	5298378	10.42082	250	0.00000	0.97803	0.02197	0.00043	0.00000	0.99957
16	5346496	10.48398	255	0.00000	0.97801	0.02199	0.00043	0.00000	0.99957
16	5403359	10.62796	260	0.00000	0.97790	0.02210	0.00043	0.00000	0.99957
16	5490474	11.09272	265	0.00000	0.97606	0.02394	0.00056	0.00000	0.99944
16	5551754	11.29757	270	0.00000	0.97541	0.02459	0.00061	0.00000	0.99939
16	5601591	11.42822	275	0.00000	0.97506	0.02494	0.00063	0.00000	0.99937
16	5636720	11.51343	280	0.00000	0.97485	0.02515	0.00065	0.00000	0.99935
16	5676458	11.55160	285	0.00000	0.97480	0.02520	0.00065	0.00000	0.99934
16	5693175	11.56123	290	0.00000	0.97480	0.02520	0.00066	0.00000	0.99934
16	5750065	11.73980	295	0.00001	0.97369	0.02631	0.00071	0.00000	0.99929
16	5923576	12.15491	300	0.00034	0.96666	0.03299	0.00083	0.00000	0.99917
16	5980171	12.54443	305	0.00267	0.95912	0.03818	0.00090	0.00000	0.99910
16	6036731	13.03045	310	0.03244	0.92387	0.04369	0.00095	0.00000	0.99905
16	6202129	13.78065	315	0.45108	0.50024	0.04872	0.00079	0.00001	0.99920
16	6288455	13.91752	320	0.50000	0.45229	0.04774	0.00076	0.00000	0.99924
16	6334528	14.11331	325	0.63000	0.32831	0.04162	0.00067	0.00000	0.99933
16	6419279	14.43599	330	0.97696	0.01155	0.01150	0.00026	0.00000	0.99974
16	6481503	14.55462	335	0.98615	0.00445	0.00940	0.00023	0.00000	0.99977
16	6562573	14.89286	340	0.99965	0.00002	0.00033	0.00003	0.00000	0.99997
16	6601704	15.01036	345	0.99982	0.00000	0.00017	0.00002	0.00000	0.99998
16	6649306	15.17611	350	0.99993	0.00000	0.00007	0.00001	0.00000	0.99999
16	6749138	15.42466	355	0.99999	0.00000	0.00001	0.00000	0.00000	1.00000
16	6767517	15.52442	360	1.00000	0.00000	0.00000	0.00000	0.00000	1.00000
